case	kind	index	ah	av	lh	lv	rh	rv
shear-20	S	0	58.143423059	100	58.143423059	100	58.143423059	100
shear-20	S	1	265.422827745	120	265.422827745	120	265.422827745	120
shear-20	S	2	356.378660542	260	356.378660542	260	356.378660542	260
shear-20	S	3	221.856576941	330	221.856576941	330	221.856576941	330
shear-20	S	4	99.099255857	240	99.099255857	240	99.099255857	240
shear-20	R	0	34.284604061	90	34.284604061	90	34.284604061	90
shear-20	R	1	278.157101479	129.833100187	278.157101479	129.833100187	278.157101479	129.833100187
shear-20	R	2	405.133638496	259.130434783	405.133638496	259.130434783	405.133638496	259.130434783
shear-20	R	3	265.360974405	333.531809796	265.360974405	333.531809796	265.360974405	333.531809796
shear-20	R	4	109.841703392	247.365256895	109.841703392	247.365256895	109.841703392	247.365256895
reshape-anchor-out	S	0	100	100	100	100	100	100
reshape-anchor-out	S	1	300	120	300	120	300	120
reshape-anchor-out	S	2	440	260	440	260	440	260
reshape-anchor-out	S	3	180	330	180	330	180	330
reshape-anchor-out	S	4	90	240	90	240	90	240
reshape-anchor-out	R	0	73.6	90.857142857	73.6	90.857142857	73.6	90.857142857
reshape-anchor-out	R	1	309.739130435	127.47826087	309.739130435	127.47826087	309.739130435	127.47826087
reshape-anchor-out	R	2	497.217391304	259.130434783	497.217391304	259.130434783	497.217391304	259.130434783
reshape-anchor-out	R	3	218.8	342.285714286	218.8	342.285714286	218.8	342.285714286
reshape-anchor-out	R	4	96.086956522	248.260869565	96.086956522	248.260869565	96.086956522	248.260869565
reshape-anchor-in	S	0	100	100	100	100	100	100
reshape-anchor-in	S	1	300	120	300	120	300	120
reshape-anchor-in	S	2	300	200	300	200	300	200
reshape-anchor-in	S	3	180	330	180	330	180	330
reshape-anchor-in	S	4	90	240	90	240	90	240
reshape-anchor-in	R	0	84.8	91.428571429	84.8	91.428571429	84.8	91.428571429
reshape-anchor-in	R	1	318.991304348	137.391304348	318.991304348	137.391304348	318.991304348	137.391304348
reshape-anchor-in	R	2	327.756521739	206.956521739	327.756521739	206.956521739	327.756521739	206.956521739
reshape-anchor-in	R	3	207.6	337.142857143	207.6	337.142857143	207.6	337.142857143
reshape-anchor-in	R	4	93.652173913	248.260869565	93.652173913	248.260869565	93.652173913	248.260869565
add-anchor	S	0	100	100	100	100	100	100
add-anchor	S	1	300	120	300	120	300	120
add-anchor	S	2	340	260	340	260	340	260
add-anchor	S	3	180	330	180	330	180	330
add-anchor	S	4	90	240	90	240	90	240
add-anchor	S	5	60	60	60	60	60	60
add-anchor	R	0	90.4	97.01863354	90.4	97.01863354	90.4	97.01863354
add-anchor	R	1	323.822222222	132.857142857	323.822222222	132.857142857	323.822222222	132.857142857
add-anchor	R	2	387.288888889	257.391304348	387.288888889	257.391304348	387.288888889	257.391304348
add-anchor	R	3	216.8	338.385093168	216.8	338.385093168	216.8	338.385093168
add-anchor	R	4	101.466666667	250.48136646	101.466666667	250.48136646	101.466666667	250.48136646
add-anchor	R	5	37.6	48.260869565	37.6	48.260869565	37.6	48.260869565
remove-anchor	S	0	100	100	100	100	100	100
remove-anchor	S	1	300	120	300	120	300	120
